Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance,mean
Hyphomicrobium,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.5070163165982075,2.6167352931449392
Hyphomicrobium,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.5799705054296823,2.6167352931449392
Nitrosomonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,6.8411260901386095,9.554201546679693
Nitrosomonas,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,6.869715776218745,9.554201546679693
Nitrosomonas,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,18.693735400849228,9.554201546679693
Nitrosomonas,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,26.61862322616342,9.554201546679693
Nitrosomonas,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,10.965238750976962,9.554201546679693
Nitrosomonas,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,9.685101088209656,9.554201546679693
Nitrosomonas,ALAR.7,Backwash_water,A_used_granules,NA,2022,2.7970048768925158,9.554201546679693
Nitrosomonas,ALAR.8,Backwash_water,A_used_granules,NA,2022,2.1138634284586826,9.554201546679693
Nitrosomonas,ALAR.9,Backwash_water,A_used_granules,NA,2023,1.4034052822094114,9.554201546679693
Nitrosospira,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.4072476642214786,0.8132006007604887
Nitrosospira,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,3.5249145529771546,0.8132006007604887
Nitrosospira,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.0761836073669061,0.8132006007604887
Nitrosospira,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.04344955523609572,0.8132006007604887
Nitrosospira,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.0407067624399866,0.8132006007604887
Nitrosospira,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.031985490537918625,0.8132006007604887
Nitrosospira,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.11356420003573205,0.8132006007604887
Nitrosospira,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.03946117558429445,0.8132006007604887
Nitrosospira,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.04129239844483174,0.8132006007604887
Nitrospira,ALAR.1,Granules,A_used_granules,Whole_granules,2022,28.54128606093789,15.894546869971352
Nitrospira,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,27.453228998021228,15.894546869971352
Nitrospira,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,29.77333346328405,15.894546869971352
Nitrospira,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,25.689888982991874,15.894546869971352
Nitrospira,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,13.79587070601809,15.894546869971352
Nitrospira,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,13.619316424373647,15.894546869971352
Nitrospira,ALAR.7,Backwash_water,A_used_granules,NA,2022,2.6551380724865075,15.894546869971352
Nitrospira,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.9793546304102169,15.894546869971352
