Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance
Genus of Rhizobiales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06369035314624757
Genus of Neisseriaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06313166583794716
Genus of Rhodospirillaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06257297852964674
Subgroup_17,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06071068750197869
SC-I-84,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.059779541988144655
SM1A02,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05959331288537785
NS9_marine_group,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.059034625577077435
Genus of Steroidobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05847593826877701
NB1-j,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05679987634387577
Neochlamydia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05605495993280854
Genus of Armatimonadota,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05531004352174132
Genus of Ilumatobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05177169056917201
Verrucomicrobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.051213003260871595
Candidatus_Alysiosphaera,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05065431595257117
KD4-96,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.05009562864427075
Genus of Propionibacteriaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.048792024924903116
Bauldia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.04637104658893464
Phaselicystis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.045626130177867416
Galbitalea,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.04469498466403339
JG36-TzT-191,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.044508755561266586
Prosthecobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.044322526458499774
Sulfuritalea,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.043205151841898944
Undibacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0419015481225313
Clostridium_sensu_stricto_13,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.041715319019764496
RB41,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.04097040260869727
Ilumatobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.04003925709486324
Legionella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0387356533754956
CL500-29_marine_group,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.037804507861661577
Tetrasphaera,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.036873362347827544
AAP99,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03668713324506074
Nannocystis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.036500904142293934
Fimbriiglobus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03612844593676032
DS-100,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03445238401185907
env.OPS_17,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03352123849802504
Roseomonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0324038638814242
11-24,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0322176347786574
Candidatus_Microthrix,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03203140567589059
Genus of Microtrichales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03184517657312379
alphaI_cluster,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.030355343750989344
Coxiella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.03035534375098934
Cutibacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02942419823715531
Trichococcus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02923796913438851
Arenimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.029051740031621705
Variovorax,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.028865510928854896
UKL13-1,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.028493052723321283
Lautropia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.028120594517787673
Genus of Caulobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.027561907209487257
Luteitalea,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.027561907209487257
SAR324_clade(Marine_group_B),ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02737567810672045
Sphingomonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02625830349011962
Genus of Sporichthyaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.026072074387352807
Clostridium_sensu_stricto_1,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02551338707905239
TRA3-20,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.024582241565218363
Ideonella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.02458224156521836
Rhodovastum,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.024209783359684753
AKYH767,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.024023554256917944
Genus of Gallionellaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.023278637845850724
Vermiphilaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.022906179640317114
Genus of Sutterellaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.022347492332016692
MBNT15,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.021416346818182663
Pseudolabrys,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.021416346818182663
Genus of Pedosphaeraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.021043888612649053
Candidatus_Competibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.020485201304348635
Caulobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.020112743098815025
Hydrogenophaga,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.020112743098815025
Obscuribacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.020112743098815025
Crenothrix,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.019740284893281414
Thermomonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01974028489328141
Clostridium_sensu_stricto_9,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.019554055790514606
Blastopirellula,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0193678266877478
Genus of Microscillaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.019181597584980996
Polaromonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.018809139379447386
Burkholderia-Caballeronia-Paraburkholderia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.018622910276680577
JCM_18997,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.018622910276680577
DEV114,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01769176476284655
Sulfurifustis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.017505535660079743
Bdellovibrio,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01731930655731294
Genus of Rhodospirillales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01731930655731294
Ramlibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.016946848351779325
0319-6G20,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01676061924901252
WPS-2,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01676061924901252
IMCC26256,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.016574390146245715
mle1-8,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.016574390146245715
Labrys,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0162019319407121
Gemmatimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0160157028379453
Bosea,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.015643244632411686
AB1,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.015270786426878074
Chthoniobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.015270786426878074
Genus of Simkaniaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.015270786426878074
BIrii41,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.015084557324111268
Rhodopirellula,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.014898328221344464
OLB14,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01452587001581085
Run-SP154,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.014339640913044046
Streptomyces,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01415341181027724
RBG-13-54-9,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.013967182707510434
Fimbriimonadales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.013594724501976824
Genus of Rhodocyclaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012849808090909598
Brevundimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012849808090909597
Latescibacterota,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012663578988142793
Pelosinus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012477349885375988
Acidaminobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012477349885375986
Genus of Myxococcaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012477349885375986
Dechloromonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.012291120782609181
Limnobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01229112078260918
